room_type,host_acceptance_rate,price,availability_365,review_scores_rating,review_scores_cleanliness,review_scores_communication,number_of_reviews
1,1.00,500.00,0.00,4.76,4.47,4.88,17
1,0.75,488.00,363.00,4.73,4.55,5,11
1,0.89,186.00,4.00,4.21,4.79,4.43,14
1,0.89,230.00,9.00,4.52,4.78,4.42,104
1,0.97,175.00,86.00,4.97,4.96,4.99,103
1,0.89,157.00,243.00,4,4.25,4.75,4
1,0.89,216.00,169.00,4.27,4.46,4.38,26
1,0.89,166.00,212.00,4.1,4.1,4.4,10
1,0.89,227.00,5.00,4.13,4.69,4.19,32
1,0.93,140.00,338.00,4.98,4.93,4.98,43
1,1.00,90.00,365.00,4.95,4.9,5,0
1,1.00,850.00,131.00,4.95,4.9,5,21
1,1.00,196.00,234.00,4.22,4.22,4.22,9
1,1.00,249.00,354.00,4.9,4.94,4.95,318
1,1.00,192.00,334.00,4.97,4.98,4.98,180
1,1.00,110.00,1.00,4.77,4.92,4.92,111
2,0.36,89.00,250.00,4.87,4.83,4.92,147
1,0.00,245.00,0.00,4.84,4.88,4.71,292
1,0.50,95.00,233.00,4.83,4.83,4.93,0
1,1.00,223.00,22.00,4.83,4.83,4.93,41
1,1.00,375.00,6.00,5,4.95,4.97,58
1,0.89,179.00,175.00,4.48,4.5,4.76,55
1,0.89,167.00,0.00,4.67,5,5,6
1,0.89,134.00,61.00,4,4.5,4.5,4
2,0.99,88.00,160.00,4.83,4.92,4.93,405
1,1.00,360.00,312.00,5,5,5,2
1,1.00,115.00,129.00,4.89,4.95,5,37
1,1.00,244.00,110.00,4.89,4.96,4.98,96
1,0.98,124.00,3.00,4.78,4.78,4.91,138
1,0.74,130.00,229.00,4.96,4.99,4.99,99
1,1.00,123.00,231.00,4.92,5,4.98,166
1,0.87,88.00,192.00,4.92,4.95,4.96,259
1,1.00,99.00,357.00,4.04,3.81,4.25,29
1,1.00,78.00,185.00,4.74,4.79,4.94,34
1,0.50,100.00,4.00,4.53,4.67,4.84,20
1,1.00,136.00,22.00,4.68,4.79,4.77,129
1,0.75,418.00,175.00,5,5,5,0
1,0.85,115.00,280.00,5,5,5,13
1,0.97,109.00,0.00,4.86,4.92,4.96,204
1,0.70,450.00,58.00,4.9,4.84,4.98,63
1,0.88,90.00,126.00,4.91,4.94,4.89,127
1,0.99,148.00,338.00,4.85,4.87,4.94,639
1,0.99,159.00,200.00,4.84,4.9,4.89,414
1,0.96,92.00,119.00,4.96,4.94,4.95,191
1,1.00,216.00,336.00,4.84,4.85,4.91,93
1,0.89,322.00,242.00,4.93,4.92,4.99,0
1,0.91,145.00,183.00,4.93,4.92,4.99,137
1,1.00,169.00,330.00,4.72,4.57,4.9,180
1,1.00,173.00,253.00,4.94,4.96,4.96,712
1,1.00,162.00,264.00,4.92,4.97,4.97,660
1,1.00,141.00,105.00,4.79,4.99,4.95,80
1,1.00,108.00,0.00,4.93,4.92,4.97,354
1,1.00,214.00,211.00,4.82,4.95,4.97,219
1,0.28,610.00,356.00,5,4.8,4.4,5
1,0.00,120.00,270.00,4.82,4.82,5,44
1,0.93,150.00,20.00,4.86,4.9,4.95,179
1,1.00,160.00,272.00,4.92,4.97,4.96,548
1,0.79,195.00,28.00,4.92,4.87,4.98,171
1,0.50,216.00,274.00,4.9,4.93,4.98,126
1,0.72,195.00,360.00,4.75,4.85,4.88,41
1,1.00,70.00,0.00,4.83,5,4.88,41
1,0.59,60.00,0.00,4.83,4.77,4.91,232
